Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,No,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,1,14,Low,Male,84,Highly-Involved,1,Laboratory Technician,Mid,Married,2426,16479,0,Y,No,13,Satisfied,Satisfied,80,1,6,5,Good,5,4,0,3
29,No,Travel_Rarely,153,Research & Development,15,College,Life Sciences,1,15,Highly Satisfied,Female,49,Medium,2,Laboratory Technician,Satisfied,Single,4193,12682,0,Y,Yes,12,Satisfied,Highly-Satisfied,80,0,10,3,Good,9,5,0,8
31,No,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,1,16,Low,Male,31,Involved,1,Research Scientist,Satisfied,Divorced,2911,15170,1,Y,No,17,Satisfied,Highly-Satisfied,80,1,5,1,Mid,5,2,4,3
34,No,Travel_Rarely,1346,Research & Development,19,College,Medical,1,18,Medium,Male,93,Involved,1,Laboratory Technician,Highly-Satisfied,Divorced,2661,8758,0,Y,No,11,Satisfied,Satisfied,80,1,3,2,Good,2,2,1,2
28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,1,19,Satisfied,Male,50,Medium,1,Laboratory Technician,Satisfied,Single,2028,12947,5,Y,Yes,14,Satisfied,Medium,80,0,6,4,Good,4,2,0,3
29,No,Travel_Rarely,1389,Research & Development,21,Master,Life Sciences,1,20,Medium,Female,51,Highly-Involved,3,Manufacturing Director,Low,Divorced,9980,10195,1,Y,No,11,Satisfied,Satisfied,80,1,10,1,Good,10,9,8,8
32,No,Travel_Rarely,334,Research & Development,5,College,Life Sciences,1,21,Low,Male,80,Highly-Involved,1,Research Scientist,Mid,Divorced,3298,15053,0,Y,Yes,12,Satisfied,Highly-Satisfied,80,2,7,5,Mid,6,2,0,5
22,No,Non-Travel,1123,Research & Development,16,College,Medical,1,22,Highly Satisfied,Male,96,Highly-Involved,1,Laboratory Technician,Highly-Satisfied,Divorced,2935,7324,1,Y,Yes,13,Satisfied,Medium,80,2,1,2,Mid,1,0,0,0
53,No,Travel_Rarely,1219,Sales,2,Master,Life Sciences,1,23,Low,Female,78,Medium,4,Manager,Highly-Satisfied,Married,15427,22021,2,Y,No,16,Satisfied,Satisfied,80,0,31,3,Good,25,8,3,7
38,No,Travel_Rarely,371,Research & Development,2,Bachelor,Life Sciences,1,24,Highly Satisfied,Male,45,Involved,1,Research Scientist,Highly-Satisfied,Single,3944,4306,5,Y,Yes,11,Satisfied,Satisfied,80,0,6,3,Good,3,2,1,2
24,No,Non-Travel,673,Research & Development,11,College,Other,1,26,Low,Female,96,Highly-Involved,2,Manufacturing Director,Satisfied,Divorced,4011,8232,0,Y,No,18,Satisfied,Highly-Satisfied,80,1,5,5,Mid,4,2,1,3
36,Yes,Travel_Rarely,1218,Sales,9,Master,Life Sciences,1,27,Satisfied,Male,82,Medium,1,Sales Representative,Low,Single,3407,6986,7,Y,No,23,Highly-Satisfied,Medium,80,0,10,4,Good,5,3,0,3
34,No,Travel_Rarely,419,Research & Development,7,Master,Life Sciences,1,28,Low,Female,53,Involved,3,Research Director,Mid,Single,11994,21293,0,Y,No,11,Satisfied,Satisfied,80,0,13,4,Good,12,6,2,11
21,No,Travel_Rarely,391,Research & Development,15,College,Life Sciences,1,30,Satisfied,Male,96,Involved,1,Research Scientist,Highly-Satisfied,Single,1232,19281,1,Y,No,14,Satisfied,Highly-Satisfied,80,0,0,6,Good,0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,Below College,Medical,1,31,Medium,Male,83,Involved,1,Research Scientist,Low,Single,2960,17102,2,Y,No,11,Satisfied,Satisfied,80,0,8,2,Good,4,2,1,3
53,No,Travel_Rarely,1282,Research & Development,5,Bachelor,Other,1,32,Satisfied,Female,58,Involved,5,Manager,Satisfied,Divorced,19094,10735,4,Y,No,11,Satisfied,Highly-Satisfied,80,1,26,3,Mid,14,13,4,8
32,Yes,Travel_Frequently,1125,Research & Development,16,Below College,Life Sciences,1,33,Medium,Female,72,Low,1,Research Scientist,Low,Single,3919,4681,1,Y,Yes,22,Highly-Satisfied,Medium,80,0,10,5,Good,10,2,6,7
42,No,Travel_Rarely,691,Sales,8,Master,Marketing,1,35,Satisfied,Male,48,Involved,2,Sales Executive,Mid,Married,6825,21173,0,Y,No,11,Satisfied,Highly-Satisfied,80,1,10,2,Good,9,7,4,2
44,No,Travel_Rarely,477,Research & Development,7,Master,Medical,1,36,Low,Female,42,Medium,3,Healthcare Representative,Highly-Satisfied,Married,10248,2094,3,Y,No,14,Satisfied,Highly-Satisfied,80,1,24,4,Good,22,6,5,17
46,No,Travel_Rarely,705,Sales,2,Master,Marketing,1,38,Medium,Female,83,Involved,5,Manager,Low,Single,18947,22822,3,Y,No,12,Satisfied,Highly-Satisfied,80,0,22,2,Mid,2,2,2,1
33,No,Travel_Rarely,924,Research & Development,2,Bachelor,Medical,1,39,Satisfied,Male,78,Involved,1,Laboratory Technician,Highly-Satisfied,Single,2496,6670,4,Y,No,11,Satisfied,Highly-Satisfied,80,0,7,3,Good,1,1,0,0
44,No,Travel_Rarely,1459,Research & Development,10,Master,Other,1,40,Highly Satisfied,Male,41,Involved,2,Healthcare Representative,Highly-Satisfied,Married,6465,19121,2,Y,Yes,13,Satisfied,Highly-Satisfied,80,0,9,5,Very-Good,4,2,1,3
30,No,Travel_Rarely,125,Research & Development,9,College,Medical,1,41,Highly Satisfied,Male,83,Medium,1,Laboratory Technician,Satisfied,Single,2206,16117,1,Y,No,13,Satisfied,Low,80,0,10,5,Good,10,0,1,8
39,Yes,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,1,42,Highly Satisfied,Male,56,Involved,2,Sales Representative,Highly-Satisfied,Married,2086,3335,3,Y,No,14,Satisfied,Satisfied,80,1,19,6,Very-Good,1,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,1,45,Medium,Male,61,Involved,1,Research Scientist,Highly-Satisfied,Married,2293,3020,2,Y,Yes,16,Satisfied,Low,80,1,6,2,Mid,2,0,2,0
43,No,Travel_Rarely,1273,Research & Development,2,College,Medical,1,46,Highly Satisfied,Female,72,Highly-Involved,1,Research Scientist,Satisfied,Divorced,2645,21923,1,Y,No,12,Satisfied,Highly-Satisfied,80,2,6,3,Mid,5,3,1,4
50,Yes,Travel_Rarely,869,Sales,3,College,Marketing,1,47,Low,Male,86,Medium,1,Sales Representative,Satisfied,Married,2683,3810,1,Y,Yes,14,Satisfied,Satisfied,80,0,3,2,Good,3,2,0,2
35,No,Travel_Rarely,890,Sales,2,Bachelor,Marketing,1,49,Highly Satisfied,Female,97,Involved,1,Sales Representative,Highly-Satisfied,Married,2014,9687,1,Y,No,13,Satisfied,Low,80,0,2,3,Good,2,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,Master,Life Sciences,1,51,Medium,Female,82,Medium,1,Research Scientist,Low,Married,3419,13072,9,Y,Yes,14,Satisfied,Highly-Satisfied,80,1,6,3,Very-Good,1,1,0,0
33,No,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,1,52,Satisfied,Female,42,Highly-Involved,2,Sales Executive,Low,Married,5376,3193,2,Y,No,19,Satisfied,Low,80,2,10,3,Good,5,3,1,3
35,No,Travel_Rarely,464,Research & Development,4,College,Other,1,53,Satisfied,Male,75,Involved,1,Laboratory Technician,Highly-Satisfied,Divorced,1951,10910,1,Y,No,12,Satisfied,Satisfied,80,1,1,3,Good,1,0,0,0
27,No,Travel_Rarely,1240,Research & Development,2,Master,Life Sciences,1,54,Highly Satisfied,Female,33,Involved,1,Laboratory Technician,Low,Divorced,2341,19715,1,Y,No,13,Satisfied,Highly-Satisfied,80,1,1,6,Good,1,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor,Life Sciences,1,55,Low,Male,48,Low,1,Laboratory Technician,Satisfied,Single,2293,10558,1,Y,No,12,Satisfied,Satisfied,80,0,1,2,Mid,1,0,0,1
27,No,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,1,56,Highly Satisfied,Male,37,Involved,3,Sales Executive,Satisfied,Single,8726,2975,1,Y,No,15,Satisfied,Highly-Satisfied,80,0,9,0,Good,9,8,1,7
30,No,Travel_Frequently,721,Research & Development,1,College,Medical,1,57,Satisfied,Female,58,Involved,2,Laboratory Technician,Highly-Satisfied,Single,4011,10781,1,Y,No,23,Highly-Satisfied,Highly-Satisfied,80,0,12,2,Good,12,8,3,7
41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelor,Technical Degree,1,58,Medium,Female,49,Involved,5,Research Director,Satisfied,Married,19545,16280,1,Y,No,12,Satisfied,Highly-Satisfied,80,0,23,0,Good,22,15,15,8
34,No,Non-Travel,1065,Sales,23,Master,Marketing,1,60,Medium,Male,72,Involved,2,Sales Executive,Satisfied,Single,4568,10034,0,Y,No,20,Highly-Satisfied,Satisfied,80,0,10,2,Good,9,5,8,7
37,No,Travel_Rarely,408,Research & Development,19,College,Life Sciences,1,61,Medium,Male,73,Involved,1,Research Scientist,Mid,Married,3022,10227,4,Y,No,21,Highly-Satisfied,Low,80,0,8,1,Good,1,0,0,0
46,No,Travel_Frequently,1211,Sales,5,Master,Marketing,1,62,Low,Male,98,Involved,2,Sales Executive,Highly-Satisfied,Single,5772,20445,4,Y,Yes,21,Highly-Satisfied,Satisfied,80,0,14,4,Good,9,6,0,8
35,No,Travel_Rarely,1229,Research & Development,8,Below College,Life Sciences,1,63,Highly Satisfied,Male,36,Highly-Involved,1,Laboratory Technician,Highly-Satisfied,Married,2269,4892,1,Y,No,19,Satisfied,Highly-Satisfied,80,0,1,2,Good,1,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,1,College,Life Sciences,1,64,Low,Male,98,Medium,3,Laboratory Technician,Satisfied,Single,5381,19294,9,Y,Yes,13,Satisfied,Highly-Satisfied,80,0,23,2,Good,1,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,Master,Technical Degree,1,65,Satisfied,Male,50,Involved,1,Laboratory Technician,Satisfied,Single,3441,11179,1,Y,Yes,13,Satisfied,Satisfied,80,0,2,3,Mid,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,Doctor,Marketing,1,68,Medium,Female,75,Involved,2,Sales Executive,Low,Divorced,5454,4009,5,Y,Yes,21,Highly-Satisfied,Satisfied,80,1,9,2,Mid,4,3,1,3
35,No,Non-Travel,1097,Research & Development,11,College,Medical,1,70,Satisfied,Male,79,Medium,3,Healthcare Representative,Low,Married,9884,8302,2,Y,Yes,13,Satisfied,Satisfied,80,1,10,3,Good,4,0,2,3
26,No,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,1,72,Satisfied,Female,47,Medium,2,Sales Executive,Highly-Satisfied,Married,4157,21436,7,Y,Yes,19,Satisfied,Satisfied,80,1,5,2,Mid,2,2,0,0
33,No,Travel_Frequently,515,Research & Development,1,College,Life Sciences,1,73,Low,Female,98,Involved,3,Research Director,Highly-Satisfied,Single,13458,15146,1,Y,Yes,12,Satisfied,Satisfied,80,0,15,1,Good,15,14,8,12
35,No,Travel_Frequently,853,Sales,18,Doctor,Life Sciences,1,74,Medium,Male,71,Involved,3,Sales Executive,Low,Married,9069,11031,1,Y,No,22,Highly-Satisfied,Highly-Satisfied,80,1,9,3,Mid,9,8,1,8
35,No,Travel_Rarely,1142,Research & Development,23,Master,Medical,1,75,Satisfied,Female,30,Involved,1,Laboratory Technician,Low,Married,4014,16002,3,Y,Yes,15,Satisfied,Satisfied,80,1,4,3,Good,2,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,Master,Life Sciences,1,76,Highly Satisfied,Male,48,Involved,2,Laboratory Technician,Highly-Satisfied,Divorced,5915,9528,3,Y,No,22,Highly-Satisfied,Highly-Satisfied,80,1,10,3,Mid,7,7,1,7
37,No,Travel_Rarely,1115,Research & Development,1,Master,Life Sciences,1,77,Low,Male,51,Medium,2,Manufacturing Director,Satisfied,Divorced,5993,2689,1,Y,No,18,Satisfied,Satisfied,80,1,7,2,Very-Good,7,5,0,7
32,No,Travel_Rarely,427,Research & Development,1,Bachelor,Medical,1,78,Low,Male,33,Involved,2,Manufacturing Director,Highly-Satisfied,Married,6162,10877,1,Y,Yes,22,Highly-Satisfied,Medium,80,1,9,3,Good,9,8,7,8
38,No,Travel_Frequently,653,Research & Development,29,Doctor,Life Sciences,1,79,Highly Satisfied,Female,50,Involved,2,Laboratory Technician,Highly-Satisfied,Single,2406,5456,1,Y,No,11,Satisfied,Highly-Satisfied,80,0,10,2,Good,10,3,9,9
50,No,Travel_Rarely,989,Research & Development,7,College,Medical,1,80,Medium,Female,43,Medium,5,Research Director,Satisfied,Divorced,18740,16701,5,Y,Yes,12,Satisfied,Highly-Satisfied,80,1,29,2,Mid,27,3,13,8
59,No,Travel_Rarely,1435,Sales,25,Bachelor,Life Sciences,1,81,Low,Female,99,Involved,3,Sales Executive,Low,Single,7637,2354,7,Y,No,11,Satisfied,Highly-Satisfied,80,0,28,3,Mid,21,16,7,9
36,No,Travel_Rarely,1223,Research & Development,8,Bachelor,Technical Degree,1,83,Satisfied,Female,59,Involved,3,Healthcare Representative,Satisfied,Divorced,10096,8202,1,Y,No,13,Satisfied,Medium,80,3,17,2,Good,17,14,12,8
55,No,Travel_Rarely,836,Research & Development,8,Bachelor,Medical,1,84,Highly Satisfied,Female,33,Involved,4,Manager,Satisfied,Divorced,14756,19730,2,Y,Yes,14,Satisfied,Satisfied,80,3,21,2,Good,5,0,0,2
36,No,Travel_Frequently,1195,Research & Development,11,Bachelor,Life Sciences,1,85,Medium,Male,95,Medium,2,Manufacturing Director,Mid,Single,6499,22656,1,Y,No,13,Satisfied,Satisfied,80,0,6,3,Good,6,5,0,3
45,No,Travel_Rarely,1339,Research & Development,7,Bachelor,Life Sciences,1,86,Medium,Male,59,Involved,3,Research Scientist,Low,Divorced,9724,18787,2,Y,No,17,Satisfied,Satisfied,80,1,25,2,Good,1,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,Bachelor,Medical,1,88,Medium,Male,79,Involved,1,Research Scientist,Low,Married,2194,5868,4,Y,No,13,Satisfied,Highly-Satisfied,80,1,5,2,Mid,3,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,9,Bachelor,Medical,1,90,Highly Satisfied,Male,79,Medium,1,Research Scientist,Satisfied,Married,3388,21777,0,Y,Yes,17,Satisfied,Low,80,1,2,0,Mid,1,0,0,0
59,No,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,1,91,Low,Female,57,Medium,2,Sales Executive,Satisfied,Single,5473,24668,7,Y,No,11,Satisfied,Highly-Satisfied,80,0,20,2,Mid,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2,Bachelor,Life Sciences,1,94,Satisfied,Male,76,Involved,1,Research Scientist,Mid,Married,2703,4956,0,Y,No,23,Highly-Satisfied,Highly-Satisfied,80,1,6,3,Good,5,4,0,4
31,No,Travel_Rarely,1082,Research & Development,1,Master,Medical,1,95,Satisfied,Male,87,Involved,1,Research Scientist,Mid,Single,2501,18775,1,Y,No,17,Satisfied,Medium,80,0,1,4,Good,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,1,Bachelor,Life Sciences,1,96,Medium,Male,66,Involved,2,Research Scientist,Mid,Married,6220,7346,1,Y,No,17,Satisfied,Medium,80,2,10,3,Good,10,4,0,9
36,No,Travel_Rarely,132,Research & Development,6,Bachelor,Life Sciences,1,97,Medium,Female,55,Highly-Involved,1,Laboratory Technician,Highly-Satisfied,Married,3038,22002,3,Y,No,12,Satisfied,Medium,80,0,5,3,Good,1,0,0,0
31,No,Travel_Rarely,746,Research & Development,8,Master,Life Sciences,1,98,Satisfied,Female,61,Involved,2,Manufacturing Director,Highly-Satisfied,Single,4424,20682,1,Y,No,23,Highly-Satisfied,Highly-Satisfied,80,0,11,2,Good,11,7,1,8
35,No,Travel_Rarely,776,Sales,1,Master,Marketing,1,100,Satisfied,Male,32,Medium,2,Sales Executive,Low,Single,4312,23016,0,Y,No,14,Satisfied,Medium,80,0,16,2,Good,15,13,2,8
45,No,Travel_Rarely,193,Research & Development,6,Master,Other,1,101,Highly Satisfied,Male,52,Involved,3,Research Director,Low,Married,13245,15067,4,Y,Yes,14,Satisfied,Medium,80,0,17,3,Very-Good,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,Master,Medical,1,102,Low,Male,30,Involved,3,Research Director,Satisfied,Single,13664,25258,4,Y,No,13,Satisfied,Low,80,0,16,3,Very-Good,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,5,College,Medical,1,103,Medium,Male,80,Involved,2,Human Resources,Mid,Divorced,5021,10425,8,Y,Yes,22,Highly-Satisfied,Highly-Satisfied,80,1,16,2,Good,4,2,0,2
30,No,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,1,104,Highly Satisfied,Male,55,Medium,2,Laboratory Technician,Highly-Satisfied,Married,5126,15998,1,Y,Yes,12,Satisfied,Satisfied,80,2,10,1,Mid,10,8,3,0
35,No,Travel_Rarely,1214,Research & Development,1,Bachelor,Medical,1,105,Medium,Male,30,Medium,1,Research Scientist,Satisfied,Single,2859,26278,1,Y,No,18,Satisfied,Low,80,0,6,3,Good,6,4,0,4
55,No,Travel_Rarely,111,Sales,1,College,Life Sciences,1,106,Low,Male,70,Involved,3,Sales Executive,Highly-Satisfied,Married,10239,18092,3,Y,No,14,Satisfied,Highly-Satisfied,80,1,24,4,Good,1,0,1,0
38,No,Non-Travel,573,Research & Development,6,Bachelor,Medical,1,107,Medium,Female,79,Low,2,Research Scientist,Highly-Satisfied,Divorced,5329,15717,7,Y,Yes,12,Satisfied,Highly-Satisfied,80,3,17,3,Good,13,11,1,9
34,No,Travel_Rarely,1153,Research & Development,1,College,Medical,1,110,Low,Male,94,Involved,2,Manufacturing Director,Mid,Married,4325,17736,1,Y,No,15,Satisfied,Satisfied,80,0,5,2,Good,5,2,1,3
56,No,Travel_Rarely,1400,Research & Development,7,Bachelor,Life Sciences,1,112,Highly Satisfied,Male,49,Low,3,Manufacturing Director,Highly-Satisfied,Single,7260,21698,4,Y,No,11,Satisfied,Low,80,0,37,3,Mid,6,4,0,2
23,No,Travel_Rarely,541,Sales,2,Below College,Technical Degree,1,113,Satisfied,Male,62,Involved,1,Sales Representative,Low,Divorced,2322,9518,3,Y,No,13,Satisfied,Satisfied,80,1,3,3,Good,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,Master,Life Sciences,1,116,Highly Satisfied,Male,96,Involved,1,Laboratory Technician,Highly-Satisfied,Married,2075,18725,3,Y,No,23,Highly-Satisfied,Medium,80,2,10,4,Good,4,2,0,3
30,No,Travel_Rarely,288,Research & Development,2,Bachelor,Life Sciences,1,117,Satisfied,Male,99,Medium,2,Healthcare Representative,Highly-Satisfied,Married,4152,15830,1,Y,No,19,Satisfied,Low,80,3,11,3,Good,11,10,10,8
46,Yes,Travel_Rarely,669,Sales,9,College,Medical,1,118,Satisfied,Male,64,Medium,3,Sales Executive,Highly-Satisfied,Single,9619,13596,1,Y,No,16,Satisfied,Highly-Satisfied,80,0,9,3,Good,9,8,4,7
40,No,Travel_Frequently,530,Research & Development,1,Master,Life Sciences,1,119,Satisfied,Male,78,Medium,4,Healthcare Representative,Mid,Married,13503,14115,1,Y,No,22,Highly-Satisfied,Highly-Satisfied,80,1,22,3,Mid,22,3,11,11
51,No,Travel_Rarely,632,Sales,21,Master,Marketing,1,120,Satisfied,Male,71,Involved,2,Sales Executive,Highly-Satisfied,Single,5441,8423,0,Y,Yes,22,Highly-Satisfied,Highly-Satisfied,80,0,11,2,Low,10,7,1,0
30,No,Travel_Rarely,1334,Sales,4,College,Medical,1,121,Satisfied,Female,63,Medium,2,Sales Executive,Mid,Divorced,5209,19760,1,Y,Yes,12,Satisfied,Medium,80,3,11,4,Mid,11,8,2,7
46,No,Travel_Frequently,638,Research & Development,1,Bachelor,Medical,1,124,Satisfied,Male,40,Medium,3,Healthcare Representative,Low,Married,10673,3142,2,Y,Yes,13,Satisfied,Satisfied,80,1,21,5,Mid,10,9,9,5
32,No,Travel_Rarely,1093,Sales,6,Master,Medical,1,125,Medium,Male,87,Involved,2,Sales Executive,Satisfied,Single,5010,24301,1,Y,No,16,Satisfied,Low,80,0,12,0,Good,11,8,5,7
54,No,Travel_Rarely,1217,Research & Development,2,Master,Technical Degree,1,126,Low,Female,60,Involved,3,Research Director,Satisfied,Married,13549,24001,9,Y,No,12,Satisfied,Low,80,1,16,5,Low,4,3,0,3
24,No,Travel_Rarely,1353,Sales,3,College,Other,1,128,Low,Female,33,Involved,2,Sales Executive,Satisfied,Married,4999,17519,0,Y,No,21,Highly-Satisfied,Low,80,1,4,2,Mid,3,2,0,2
28,No,Non-Travel,120,Sales,4,Bachelor,Medical,1,129,Medium,Male,43,Involved,2,Sales Executive,Satisfied,Married,4221,8863,1,Y,No,15,Satisfied,Medium,80,0,5,3,Very-Good,5,4,0,4
58,No,Travel_Rarely,682,Sales,10,Master,Medical,1,131,Highly Satisfied,Male,37,Involved,4,Sales Executive,Satisfied,Single,13872,24409,0,Y,No,13,Satisfied,Satisfied,80,0,38,1,Mid,37,10,1,8
44,No,Non-Travel,489,Research & Development,23,Bachelor,Medical,1,132,Medium,Male,67,Involved,2,Laboratory Technician,Mid,Married,2042,25043,4,Y,No,12,Satisfied,Satisfied,80,1,17,3,Very-Good,3,2,1,2
37,Yes,Travel_Rarely,807,Human Resources,6,Master,Human Resources,1,133,Satisfied,Male,63,Involved,1,Human Resources,Low,Divorced,2073,23648,4,Y,Yes,22,Highly-Satisfied,Highly-Satisfied,80,0,7,3,Good,3,2,0,2
32,No,Travel_Rarely,827,Research & Development,1,Below College,Life Sciences,1,134,Highly Satisfied,Male,71,Involved,1,Research Scientist,Low,Single,2956,15178,1,Y,No,13,Satisfied,Highly-Satisfied,80,0,1,2,Good,1,0,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,1,137,Highly Satisfied,Female,66,Medium,1,Laboratory Technician,Highly-Satisfied,Single,2926,19783,1,Y,Yes,18,Satisfied,Medium,80,0,1,5,Good,1,0,1,0
34,No,Travel_Rarely,665,Research & Development,6,Master,Other,1,138,Low,Female,41,Involved,2,Research Scientist,Satisfied,Single,4809,12482,1,Y,No,14,Satisfied,Satisfied,80,0,16,3,Good,16,13,2,10
37,No,Non-Travel,1040,Research & Development,2,College,Life Sciences,1,139,Satisfied,Male,100,Medium,2,Healthcare Representative,Highly-Satisfied,Divorced,5163,15850,5,Y,No,14,Satisfied,Highly-Satisfied,80,1,17,2,Very-Good,1,0,0,0
59,No,Non-Travel,1420,Human Resources,2,Master,Human Resources,1,140,Satisfied,Female,32,Medium,5,Manager,Highly-Satisfied,Married,18844,21922,9,Y,No,21,Highly-Satisfied,Highly-Satisfied,80,1,30,3,Good,3,2,2,2
50,No,Travel_Frequently,1115,Research & Development,1,Bachelor,Life Sciences,1,141,Low,Female,73,Involved,5,Research Director,Mid,Married,18172,9755,3,Y,Yes,19,Satisfied,Low,80,0,28,1,Mid,8,3,0,7
25,Yes,Travel_Rarely,240,Sales,5,Bachelor,Marketing,1,142,Satisfied,Male,46,Medium,2,Sales Executive,Satisfied,Single,5744,26959,1,Y,Yes,11,Satisfied,Highly-Satisfied,80,0,6,1,Good,6,4,0,3
25,No,Travel_Rarely,1280,Research & Development,7,Below College,Medical,1,143,Highly Satisfied,Male,64,Medium,1,Research Scientist,Highly-Satisfied,Married,2889,26897,1,Y,No,11,Satisfied,Satisfied,80,2,2,2,Good,2,2,2,1
22,No,Travel_Rarely,534,Research & Development,15,Bachelor,Medical,1,144,Medium,Female,59,Involved,1,Laboratory Technician,Highly-Satisfied,Single,2871,23785,1,Y,No,15,Satisfied,Satisfied,80,0,1,5,Good,0,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,Master,Medical,1,145,Low,Female,30,Medium,3,Healthcare Representative,Low,Single,7484,25796,3,Y,No,20,Highly-Satisfied,Satisfied,80,0,23,1,Mid,13,12,12,8
34,Yes,Travel_Frequently,658,Research & Development,7,Bachelor,Life Sciences,1,147,Low,Male,66,Low,2,Laboratory Technician,Satisfied,Single,6074,22887,1,Y,Yes,24,Highly-Satisfied,Highly-Satisfied,80,0,9,3,Good,9,7,0,6
